Customer ID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
1000,156,2,6279.42,2,1,4,214,Hibernating
1002,45,2,5020.6,4,1,3,413,Promising
1003,125,1,41.5,3,1,1,311,About to Sleep
1004,120,1,83.0,3,1,1,311,About to Sleep
1005,91,2,11779.11,3,1,5,315,About to Sleep
1006,90,3,12184.27,3,2,5,325,About to Sleep
1007,321,1,7120.71,1,1,4,114,Hibernating
1008,364,1,3379.32,1,1,3,113,Hibernating
1011,78,1,7911.9,4,1,4,414,Promising
1013,189,1,5538.33,2,1,4,214,Hibernating
1014,128,2,9816.119999999999,3,1,5,315,About to Sleep
1015,21,1,83.0,5,1,1,511,New Customers
1016,78,1,103.75,4,1,1,411,Promising
1018,62,1,124.5,4,1,1,411,Promising
1019,64,3,1915.9499999999998,4,2,2,422,Loyal Customers
1020,296,1,3379.32,1,1,3,113,Hibernating
1021,187,1,844.83,2,1,1,211,Hibernating
1022,149,1,6758.64,2,1,4,214,Hibernating
1024,75,1,1582.38,4,1,2,412,Promising
1025,26,2,2866.76,5,1,2,512,New Customers
1027,300,1,4747.14,1,1,3,113,Hibernating
1028,298,1,6758.64,1,1,4,114,Hibernating
1030,209,1,4224.15,2,1,3,213,Hibernating
1031,20,2,6017.56,5,1,4,514,New Customers
1033,255,2,4152.88,1,1,3,113,Hibernating
1035,182,2,249.0,2,1,1,211,Hibernating
1036,239,2,4747.139999999999,1,1,3,113,Hibernating
1038,0,4,14976.71,5,2,5,525,Champions
1039,23,1,1729.21,5,1,2,512,New Customers
1040,343,1,6329.52,1,1,4,114,Hibernating
1042,69,2,6059.06,4,1,4,414,Promising
1043,202,1,207.5,2,1,1,211,Hibernating
1047,287,1,2470.3,1,1,2,112,Hibernating
1048,331,1,2470.3,1,1,2,112,Hibernating
1049,90,1,145.25,3,1,1,311,About to Sleep
1052,51,1,5068.98,4,1,3,413,Promising
1053,278,1,4175.64,1,1,3,113,Hibernating
1054,138,1,62.25,3,1,1,311,About to Sleep
1056,149,1,1855.84,2,1,2,212,Hibernating
1057,179,2,9085.65,2,1,5,215,Hibernating
1058,77,2,4121.95,4,1,3,413,Promising
1059,88,2,3711.68,3,1,3,313,About to Sleep
1060,238,3,4920.4,1,2,3,123,At Risk
1061,125,2,2440.2,3,1,2,312,About to Sleep
1062,184,1,6329.52,2,1,4,214,Hibernating
1063,77,2,4229.41,4,1,3,413,Promising
1066,72,2,4747.14,4,1,3,413,Promising
1067,268,2,3418.87,1,1,3,113,Hibernating
1069,125,1,145.25,3,1,1,311,About to Sleep
1070,299,1,62.25,1,1,1,111,Hibernating
1071,98,1,7603.47,3,1,4,314,About to Sleep
1073,11,2,4199.51,5,1,3,513,New Customers
1074,322,1,7603.47,1,1,4,114,Hibernating
1077,132,2,3855.75,3,1,3,313,About to Sleep
1079,8,3,5579.83,5,2,4,524,Champions
1080,36,2,3411.7900000000004,5,1,3,513,New Customers
1083,56,1,3379.32,4,1,3,413,Promising
1085,144,2,761.84,2,1,1,211,Hibernating
1086,84,1,166.0,4,1,1,411,Promising
1089,45,1,3955.95,4,1,3,413,Promising
1090,142,1,741.09,3,1,1,311,About to Sleep
1091,185,1,1689.66,2,1,2,212,Hibernating
1093,149,1,7120.71,2,1,4,214,Hibernating
1094,139,1,20.75,3,1,1,311,About to Sleep
1096,131,2,4681.1,3,1,3,313,About to Sleep
1097,182,1,988.12,2,1,1,211,Hibernating
1099,115,2,2974.26,3,1,2,312,About to Sleep
1100,127,2,4120.41,3,1,3,313,About to Sleep
1101,62,4,1102.44,4,2,1,421,Loyal Customers
1102,48,1,166.0,4,1,1,411,Promising
1105,3,1,1482.18,5,1,1,511,New Customers
1109,72,2,2042.59,4,1,2,412,Promising
1110,74,1,207.5,4,1,1,411,Promising
1112,96,2,4446.54,3,1,3,313,About to Sleep
1114,236,1,4747.14,1,1,3,113,Hibernating
1115,13,3,1883.05,5,2,2,522,Champions
1116,126,2,8351.28,3,1,5,315,About to Sleep
1117,201,1,1689.66,2,1,2,212,Hibernating
1119,255,1,1482.18,1,1,1,111,Hibernating
